student_id,student_name,grade,section,region,enrollment_date,parent_contact,email,attendance_percentage
1072,Krishna Gupta,Grade 6,C,South Delhi,2025-01-07,9126614158,student1072@dumroo.edu,80
1073,Anaya Jain,Grade 6,C,South Delhi,2025-03-23,9270937380,student1073@dumroo.edu,97
1074,Vihaan Jain,Grade 6,C,North Delhi,2024-12-09,9338836384,student1074@dumroo.edu,81
1075,Prisha Agarwal,Grade 6,C,East Delhi,2025-04-12,9339362341,student1075@dumroo.edu,75
1076,Ayaan Jain,Grade 6,C,East Delhi,2025-03-17,9174539964,student1076@dumroo.edu,83
1077,Aadhya Mittal,Grade 6,C,West Delhi,2024-11-05,9455569462,student1077@dumroo.edu,75
1078,Vihaan Kumar,Grade 6,C,South Delhi,2024-10-13,9385042337,student1078@dumroo.edu,76
1079,Vihaan Saxena,Grade 6,C,West Delhi,2025-02-11,9882269302,student1079@dumroo.edu,85
1080,Pihu Saxena,Grade 6,C,Central Delhi,2025-06-08,9513600440,student1080@dumroo.edu,93
1081,Ayaan Kumar,Grade 6,C,North Delhi,2024-12-26,9101815992,student1081@dumroo.edu,91
1082,Ayaan Agarwal,Grade 7,A,West Delhi,2025-07-02,9813219781,student1082@dumroo.edu,85
1083,Khushi Agarwal,Grade 7,A,North Delhi,2025-03-06,9644518647,student1083@dumroo.edu,84
1084,Pihu Agarwal,Grade 7,A,West Delhi,2025-03-08,9695295870,student1084@dumroo.edu,79
1085,Ayaan Jain,Grade 7,A,West Delhi,2025-05-09,9760904107,student1085@dumroo.edu,93
1086,Shaurya Jain,Grade 7,A,Central Delhi,2025-08-06,9426283245,student1086@dumroo.edu,84
1087,Ayaan Jain,Grade 7,A,Central Delhi,2024-09-30,9802984810,student1087@dumroo.edu,85
1088,Prisha Bansal,Grade 7,A,West Delhi,2025-04-19,9648868899,student1088@dumroo.edu,90
1089,Reyansh Verma,Grade 7,A,East Delhi,2024-11-16,9812807629,student1089@dumroo.edu,95
1090,Khushi Agarwal,Grade 7,A,North Delhi,2025-04-08,9822408848,student1090@dumroo.edu,84
1091,Krishna Singh,Grade 7,A,South Delhi,2025-07-25,9149621604,student1091@dumroo.edu,82
1092,Inaya Saxena,Grade 7,A,North Delhi,2024-12-16,9545002643,student1092@dumroo.edu,95
1093,Kavya Singh,Grade 7,A,West Delhi,2024-11-26,9529123992,student1093@dumroo.edu,82
1094,Arjun Sharma,Grade 7,A,North Delhi,2025-01-01,9334978881,student1094@dumroo.edu,80
1095,Riya Bansal,Grade 7,A,North Delhi,2024-10-25,9367574609,student1095@dumroo.edu,78
1096,Prisha Gupta,Grade 7,A,West Delhi,2024-11-08,9700141462,student1096@dumroo.edu,94
1097,Anaya Bansal,Grade 7,A,Central Delhi,2024-11-21,9558209399,student1097@dumroo.edu,92
1098,Prisha Gupta,Grade 7,A,West Delhi,2024-12-19,9378304807,student1098@dumroo.edu,82
1099,Ishaan Mittal,Grade 7,A,West Delhi,2024-09-20,9356888294,student1099@dumroo.edu,83
1100,Prisha Verma,Grade 7,A,East Delhi,2025-04-08,9391751878,student1100@dumroo.edu,85
1101,Anaya Mittal,Grade 7,A,North Delhi,2025-05-28,9261953189,student1101@dumroo.edu,82
1102,Diya Gupta,Grade 7,A,South Delhi,2025-07-05,9545461013,student1102@dumroo.edu,88
1103,Anaya Mittal,Grade 7,A,West Delhi,2025-01-06,9166857303,student1103@dumroo.edu,81
1104,Pihu Jain,Grade 7,A,Central Delhi,2025-07-27,9922050912,student1104@dumroo.edu,93
1105,Diya Bansal,Grade 7,A,North Delhi,2025-02-07,9420632895,student1105@dumroo.edu,87
1106,Pihu Mittal,Grade 7,A,Central Delhi,2024-10-02,9336801619,student1106@dumroo.edu,90
1107,Krishna Kumar,Grade 7,A,West Delhi,2024-12-01,9131165166,student1107@dumroo.edu,87
1108,Anaya Jain,Grade 7,A,South Delhi,2024-12-10,9237039296,student1108@dumroo.edu,94
1109,Anvi Sharma,Grade 7,A,West Delhi,2024-10-07,9706011277,student1109@dumroo.edu,96
1110,Aarav Verma,Grade 7,A,West Delhi,2025-05-29,9595744935,student1110@dumroo.edu,80
1111,Ishaan Jain,Grade 7,B,East Delhi,2025-04-20,9588229686,student1111@dumroo.edu,85
1112,Anaya Jain,Grade 7,B,East Delhi,2025-01-03,9370874491,student1112@dumroo.edu,77
1113,Inaya Sharma,Grade 7,B,Central Delhi,2025-07-11,9475767056,student1113@dumroo.edu,82
1114,Aditya Sharma,Grade 7,B,North Delhi,2025-04-02,9314061901,student1114@dumroo.edu,75
1115,Khushi Gupta,Grade 7,B,South Delhi,2025-06-03,9608482316,student1115@dumroo.edu,96
1116,Vihaan Saxena,Grade 7,B,South Delhi,2024-12-11,9851044796,student1116@dumroo.edu,83
1117,Aadhya Gupta,Grade 7,B,Central Delhi,2024-09-30,9903079055,student1117@dumroo.edu,97
1118,Vihaan Gupta,Grade 7,B,East Delhi,2025-06-12,9721358005,student1118@dumroo.edu,75
1119,Shaurya Saxena,Grade 7,B,West Delhi,2025-01-15,9867741192,student1119@dumroo.edu,81
1120,Aditya Saxena,Grade 7,B,South Delhi,2025-06-15,9848605284,student1120@dumroo.edu,84
1121,Khushi Verma,Grade 7,B,Central Delhi,2025-07-16,9472807202,student1121@dumroo.edu,92
1122,Pihu Agarwal,Grade 7,B,North Delhi,2024-11-20,9795294275,student1122@dumroo.edu,85
1123,Aarav Jain,Grade 7,B,West Delhi,2025-06-13,9565492204,student1123@dumroo.edu,86
1124,Prisha Gupta,Grade 7,B,West Delhi,2025-05-08,9887906704,student1124@dumroo.edu,91
1125,Ishaan Saxena,Grade 7,B,Central Delhi,2024-12-02,9599154414,student1125@dumroo.edu,88
1126,Kavya Kumar,Grade 7,B,East Delhi,2025-04-03,9991990632,student1126@dumroo.edu,77
1127,Ishaan Bansal,Grade 7,B,South Delhi,2024-12-12,9711871397,student1127@dumroo.edu,94
1128,Diya Agarwal,Grade 7,B,North Delhi,2024-11-26,9448981305,student1128@dumroo.edu,80
1129,Inaya Singh,Grade 7,B,East Delhi,2025-03-27,9465436049,student1129@dumroo.edu,83
1130,Khushi Kumar,Grade 7,B,Central Delhi,2025-08-01,9654724287,student1130@dumroo.edu,81
1131,Aditya Singh,Grade 7,B,West Delhi,2024-11-29,9696115913,student1131@dumroo.edu,82
1132,Inaya Bansal,Grade 7,B,West Delhi,2025-07-29,9199915275,student1132@dumroo.edu,84
1133,Krishna Jain,Grade 7,B,South Delhi,2025-03-03,9812921644,student1133@dumroo.edu,93
1134,Aadhya Bansal,Grade 7,B,Central Delhi,2024-11-08,9469106688,student1134@dumroo.edu,88
1135,Anvi Agarwal,Grade 7,B,East Delhi,2024-12-17,9390894296,student1135@dumroo.edu,84
1136,Krishna Verma,Grade 7,C,South Delhi,2025-02-26,9228370927,student1136@dumroo.edu,98
1137,Anvi Gupta,Grade 7,C,South Delhi,2025-04-18,9893070706,student1137@dumroo.edu,90
1138,Ishaan Saxena,Grade 7,C,Central Delhi,2024-10-05,9403867539,student1138@dumroo.edu,78
1139,Ayaan Kumar,Grade 7,C,South Delhi,2025-02-03,9292673892,student1139@dumroo.edu,84
1140,Aarav Mittal,Grade 7,C,South Delhi,2025-03-19,9148872110,student1140@dumroo.edu,76
1141,Anvi Kumar,Grade 7,C,South Delhi,2024-09-14,9908304440,student1141@dumroo.edu,90
1142,Vihaan Sharma,Grade 7,C,Central Delhi,2025-03-14,9604011128,student1142@dumroo.edu,90
1143,Prisha Agarwal,Grade 7,C,South Delhi,2025-07-11,9371096600,student1143@dumroo.edu,90
1144,Vihaan Verma,Grade 7,C,West Delhi,2024-11-28,9179545125,student1144@dumroo.edu,93
1145,Vivaan Gupta,Grade 7,C,South Delhi,2024-10-22,9426240903,student1145@dumroo.edu,77
1146,Krishna Verma,Grade 7,C,Central Delhi,2025-01-05,9751028618,student1146@dumroo.edu,94
1147,Khushi Singh,Grade 7,C,Central Delhi,2025-01-24,9583736219,student1147@dumroo.edu,89
1148,Shaurya Saxena,Grade 7,C,West Delhi,2025-03-03,9710561240,student1148@dumroo.edu,94
1149,Vivaan Saxena,Grade 7,C,North Delhi,2025-04-22,9771641650,student1149@dumroo.edu,81
1150,Ishaan Verma,Grade 7,C,South Delhi,2025-04-06,9286630878,student1150@dumroo.edu,92
1151,Aditya Gupta,Grade 7,C,North Delhi,2025-01-09,9583724666,student1151@dumroo.edu,97
1152,Khushi Bansal,Grade 7,C,East Delhi,2025-07-21,9348545713,student1152@dumroo.edu,84
1153,Shaurya Bansal,Grade 7,C,North Delhi,2025-04-09,9384063364,student1153@dumroo.edu,95
1154,Kavya Singh,Grade 7,C,West Delhi,2025-06-09,9684719405,student1154@dumroo.edu,82
1155,Arjun Kumar,Grade 7,C,South Delhi,2025-07-01,9164035859,student1155@dumroo.edu,80
1156,Shaurya Saxena,Grade 7,C,Central Delhi,2025-03-12,9571537429,student1156@dumroo.edu,78
1157,Prisha Kumar,Grade 7,C,West Delhi,2025-03-20,9637377910,student1157@dumroo.edu,92
1158,Inaya Bansal,Grade 7,C,North Delhi,2024-10-04,9142800191,student1158@dumroo.edu,88
1159,Anaya Saxena,Grade 7,C,East Delhi,2025-07-24,9198061499,student1159@dumroo.edu,82
1160,Kavya Saxena,Grade 7,C,North Delhi,2025-03-22,9718740490,student1160@dumroo.edu,76
1161,Reyansh Bansal,Grade 7,C,Central Delhi,2024-09-07,9574840200,student1161@dumroo.edu,83
1162,Reyansh Saxena,Grade 7,C,West Delhi,2024-09-15,9974288855,student1162@dumroo.edu,90
1163,Inaya Agarwal,Grade 8,A,West Delhi,2025-02-17,9444733679,student1163@dumroo.edu,96
1164,Vihaan Gupta,Grade 8,A,East Delhi,2025-01-08,9844826434,student1164@dumroo.edu,90
1165,Shaurya Jain,Grade 8,A,Central Delhi,2025-07-19,9588365604,student1165@dumroo.edu,77
1166,Anaya Kumar,Grade 8,A,East Delhi,2025-06-08,9929517022,student1166@dumroo.edu,87
1167,Riya Sharma,Grade 8,A,Central Delhi,2024-12-13,9543721204,student1167@dumroo.edu,76
1168,Ayaan Mittal,Grade 8,A,East Delhi,2024-09-22,9912224654,student1168@dumroo.edu,90
1169,Prisha Sharma,Grade 8,A,South Delhi,2025-03-23,9689720101,student1169@dumroo.edu,79
1170,Shaurya Bansal,Grade 8,A,West Delhi,2025-06-05,9130998324,student1170@dumroo.edu,95
1171,Khushi Singh,Grade 8,A,South Delhi,2025-02-28,9691458887,student1171@dumroo.edu,75
1172,Anvi Jain,Grade 8,A,North Delhi,2025-04-13,9221827951,student1172@dumroo.edu,89
1173,Vihaan Gupta,Grade 8,A,West Delhi,2025-03-10,9646397165,student1173@dumroo.edu,97
1174,Ishaan Jain,Grade 8,A,West Delhi,2024-12-08,9361704064,student1174@dumroo.edu,89
1175,Anvi Gupta,Grade 8,A,West Delhi,2025-05-01,9743576792,student1175@dumroo.edu,91
1176,Arjun Verma,Grade 8,A,East Delhi,2025-01-06,9464938258,student1176@dumroo.edu,91
1177,Ishaan Sharma,Grade 8,A,East Delhi,2025-03-07,9999232921,student1177@dumroo.edu,93
1178,Kavya Bansal,Grade 8,A,South Delhi,2024-12-21,9678296492,student1178@dumroo.edu,90
1179,Aadhya Agarwal,Grade 8,A,Central Delhi,2024-11-01,9505026213,student1179@dumroo.edu,89
1180,Anaya Singh,Grade 8,A,South Delhi,2024-10-18,9511211819,student1180@dumroo.edu,82
1181,Pihu Sharma,Grade 8,A,East Delhi,2024-12-07,9857232668,student1181@dumroo.edu,87
1182,Diya Gupta,Grade 8,A,West Delhi,2025-07-19,9235555899,student1182@dumroo.edu,91
1183,Kavya Agarwal,Grade 8,A,North Delhi,2024-12-24,9207064620,student1183@dumroo.edu,91
1184,Prisha Sharma,Grade 8,A,South Delhi,2025-01-09,9803066091,student1184@dumroo.edu,79
1185,Aditya Bansal,Grade 8,A,East Delhi,2025-02-14,9769219685,student1185@dumroo.edu,97
1186,Diya Verma,Grade 8,A,East Delhi,2024-11-06,9508031980,student1186@dumroo.edu,85
1187,Inaya Mittal,Grade 8,A,North Delhi,2024-09-24,9173466219,student1187@dumroo.edu,82
1188,Shaurya Singh,Grade 8,B,North Delhi,2024-12-27,9205702499,student1188@dumroo.edu,95
1189,Vihaan Bansal,Grade 8,B,South Delhi,2025-03-06,9131081879,student1189@dumroo.edu,76
1190,Anaya Sharma,Grade 8,B,East Delhi,2025-02-04,9502482554,student1190@dumroo.edu,88
1191,Arjun Singh,Grade 8,B,Central Delhi,2025-01-08,9707660630,student1191@dumroo.edu,96
1192,Reyansh Gupta,Grade 8,B,South Delhi,2025-06-27,9754436820,student1192@dumroo.edu,87
1193,Khushi Singh,Grade 8,B,West Delhi,2024-10-12,9253671484,student1193@dumroo.edu,82
1194,Prisha Kumar,Grade 8,B,West Delhi,2025-03-29,9816014770,student1194@dumroo.edu,75
1195,Prisha Kumar,Grade 8,B,Central Delhi,2025-05-18,9179308612,student1195@dumroo.edu,89
1196,Aadhya Saxena,Grade 8,B,East Delhi,2024-09-13,9555598254,student1196@dumroo.edu,97
1197,Ishaan Bansal,Grade 8,B,East Delhi,2025-04-27,9513061224,student1197@dumroo.edu,90
1198,Vihaan Singh,Grade 8,B,West Delhi,2024-10-18,9485429460,student1198@dumroo.edu,93
1199,Shaurya Kumar,Grade 8,B,North Delhi,2025-01-16,9394721069,student1199@dumroo.edu,75
1200,Kavya Sharma,Grade 8,B,Central Delhi,2024-11-25,9994253959,student1200@dumroo.edu,84
1201,Krishna Saxena,Grade 8,B,East Delhi,2025-04-16,9783563240,student1201@dumroo.edu,81
1202,Khushi Kumar,Grade 8,B,South Delhi,2024-09-19,9204328975,student1202@dumroo.edu,95
1203,Vivaan Kumar,Grade 8,B,West Delhi,2025-07-20,9722312633,student1203@dumroo.edu,86
1204,Arjun Verma,Grade 8,B,East Delhi,2025-02-20,9902601465,student1204@dumroo.edu,88
1205,Reyansh Singh,Grade 8,B,South Delhi,2024-11-03,9492836532,student1205@dumroo.edu,91
1206,Riya Kumar,Grade 8,B,South Delhi,2025-03-28,9985503942,student1206@dumroo.edu,90
1207,Shaurya Agarwal,Grade 8,B,North Delhi,2024-12-10,9180852074,student1207@dumroo.edu,79
1208,Krishna Jain,Grade 8,B,Central Delhi,2025-01-31,9196961971,student1208@dumroo.edu,87
1209,Aarav Kumar,Grade 8,B,Central Delhi,2025-06-04,9588322781,student1209@dumroo.edu,86
1210,Ishaan Saxena,Grade 8,B,West Delhi,2024-09-14,9498866784,student1210@dumroo.edu,78
1211,Krishna Bansal,Grade 8,B,North Delhi,2024-09-23,9702806585,student1211@dumroo.edu,85
1212,Khushi Singh,Grade 8,B,North Delhi,2024-09-15,9984607950,student1212@dumroo.edu,89
1213,Shaurya Jain,Grade 8,B,North Delhi,2025-05-27,9148690765,student1213@dumroo.edu,76
1214,Shaurya Bansal,Grade 8,B,North Delhi,2025-06-18,9352114611,student1214@dumroo.edu,92
1215,Arjun Jain,Grade 8,B,West Delhi,2025-01-29,9819929088,student1215@dumroo.edu,98
1216,Anvi Jain,Grade 8,B,Central Delhi,2025-05-19,9545478870,student1216@dumroo.edu,95
1217,Vihaan Bansal,Grade 8,B,Central Delhi,2025-01-10,9400368694,student1217@dumroo.edu,76
1218,Aadhya Singh,Grade 8,C,West Delhi,2024-12-22,9353524015,student1218@dumroo.edu,86
1219,Vihaan Agarwal,Grade 8,C,Central Delhi,2024-09-10,9485123110,student1219@dumroo.edu,76
1220,Diya Kumar,Grade 8,C,South Delhi,2025-06-05,9984968439,student1220@dumroo.edu,89
1221,Aditya Singh,Grade 8,C,Central Delhi,2025-07-27,9154308262,student1221@dumroo.edu,85
1222,Krishna Gupta,Grade 8,C,Central Delhi,2025-04-23,9173669588,student1222@dumroo.edu,92
1223,Ayaan Saxena,Grade 8,C,South Delhi,2025-04-09,9452788129,student1223@dumroo.edu,79
1224,Khushi Sharma,Grade 8,C,East Delhi,2025-05-24,9239577989,student1224@dumroo.edu,92
1225,Ishaan Gupta,Grade 8,C,North Delhi,2025-07-24,9241522640,student1225@dumroo.edu,75
1226,Aadhya Singh,Grade 8,C,Central Delhi,2025-02-22,9116944811,student1226@dumroo.edu,80
1227,Ishaan Sharma,Grade 8,C,South Delhi,2025-01-03,9664880035,student1227@dumroo.edu,78
1228,Aditya Bansal,Grade 8,C,West Delhi,2025-02-02,9651085057,student1228@dumroo.edu,93
1229,Vihaan Bansal,Grade 8,C,Central Delhi,2025-04-15,9760465943,student1229@dumroo.edu,76
1230,Riya Kumar,Grade 8,C,West Delhi,2024-09-11,9133447745,student1230@dumroo.edu,76
1231,Inaya Jain,Grade 8,C,West Delhi,2025-06-12,9626422169,student1231@dumroo.edu,97
1232,Prisha Verma,Grade 8,C,North Delhi,2025-02-23,9753154389,student1232@dumroo.edu,79
1233,Aditya Gupta,Grade 8,C,East Delhi,2024-09-21,9779760958,student1233@dumroo.edu,93
1234,Anvi Agarwal,Grade 8,C,West Delhi,2024-10-05,9669681065,student1234@dumroo.edu,84
1235,Prisha Mittal,Grade 8,C,Central Delhi,2024-12-29,9206492059,student1235@dumroo.edu,97
1236,Vihaan Mittal,Grade 8,C,South Delhi,2024-12-29,9584853393,student1236@dumroo.edu,82
1237,Pihu Agarwal,Grade 8,C,West Delhi,2025-01-14,9546665485,student1237@dumroo.edu,98
1238,Vihaan Agarwal,Grade 8,C,West Delhi,2025-02-27,9814154134,student1238@dumroo.edu,83
1239,Aadhya Gupta,Grade 8,C,West Delhi,2025-07-03,9197951867,student1239@dumroo.edu,77
1240,Aditya Jain,Grade 8,C,North Delhi,2025-01-28,9971630639,student1240@dumroo.edu,79
1241,Anvi Sharma,Grade 8,C,Central Delhi,2024-10-23,9703102938,student1241@dumroo.edu,85
1242,Vihaan Jain,Grade 8,C,East Delhi,2025-01-02,9874233009,student1242@dumroo.edu,76
1243,Shaurya Saxena,Grade 8,C,East Delhi,2025-02-07,9211240259,student1243@dumroo.edu,93
1244,Riya Singh,Grade 8,C,South Delhi,2024-12-03,9340781088,student1244@dumroo.edu,78
1245,Aadhya Mittal,Grade 8,C,East Delhi,2025-06-09,9918841563,student1245@dumroo.edu,83
1246,Kavya Singh,Grade 8,C,West Delhi,2024-10-23,9924024405,student1246@dumroo.edu,94
1247,Khushi Mittal,Grade 8,C,North Delhi,2024-09-29,9806340901,student1247@dumroo.edu,97
1248,Aarav Gupta,Grade 9,A,East Delhi,2025-03-01,9464883950,student1248@dumroo.edu,86
1249,Aarav Gupta,Grade 9,A,South Delhi,2024-10-21,9805818425,student1249@dumroo.edu,87
1250,Aditya Gupta,Grade 9,A,North Delhi,2025-06-21,9901131404,student1250@dumroo.edu,91
1251,Ayaan Jain,Grade 9,A,West Delhi,2024-12-17,9466034277,student1251@dumroo.edu,80
1252,Aadhya Kumar,Grade 9,A,East Delhi,2024-10-20,9740190407,student1252@dumroo.edu,77
1253,Vivaan Gupta,Grade 9,A,South Delhi,2024-09-24,9153432064,student1253@dumroo.edu,96
1254,Aditya Kumar,Grade 9,A,West Delhi,2025-01-01,9621475287,student1254@dumroo.edu,94
1255,Prisha Jain,Grade 9,A,East Delhi,2025-04-18,9910614025,student1255@dumroo.edu,91
1256,Vihaan Agarwal,Grade 9,A,West Delhi,2025-06-11,9404133583,student1256@dumroo.edu,96
1257,Kavya Bansal,Grade 9,A,Central Delhi,2025-03-02,9148766522,student1257@dumroo.edu,82
1258,Diya Saxena,Grade 9,A,North Delhi,2025-08-03,9319497661,student1258@dumroo.edu,84
1259,Ayaan Gupta,Grade 9,A,East Delhi,2025-03-11,9452318696,student1259@dumroo.edu,78
1260,Aarav Bansal,Grade 9,A,West Delhi,2025-05-09,9238712095,student1260@dumroo.edu,87
1261,Anvi Singh,Grade 9,A,Central Delhi,2024-10-24,9994807263,student1261@dumroo.edu,96
1262,Aadhya Verma,Grade 9,A,West Delhi,2025-07-16,9568387228,student1262@dumroo.edu,75
1263,Prisha Verma,Grade 9,A,East Delhi,2024-10-16,9560940492,student1263@dumroo.edu,93
1264,Diya Jain,Grade 9,A,East Delhi,2025-06-09,9534900128,student1264@dumroo.edu,75
1265,Anaya Gupta,Grade 9,A,Central Delhi,2024-12-14,9993381017,student1265@dumroo.edu,97
